Index,Topic,Source,Bias,Headline,Byline,Date,URL,Left Bias,Left Headline,Left Source,Left URL,Right Bias,Right Headline,Right Source,Right URL,Center Bias,Center Headline,Center Source,Center URL
39,covid,The Hill,Center,White House faces new obstacles in COVID-19 fight,President Biden is facing a series of fresh obstacles in getting the coronavirus pandemic under control in the United States.,Apr 16 2021,https://thehill.com/homenews/administration/548561-white-house-faces-new-obstacles-in-covid-19-fight,Lean Left,Moderna says its COVID-19 vaccine is 96% effect...,CBS News (Online),https://www.cbsnews.com/news/moderna-covid-19-v...,Lean Right,Teachers Should Get the Covid Vaccine First,Wall Street Journal (Opinion),https://www.wsj.com/articles/teachers-should-ge...,Center,Pfizer Says COVID-19 Vaccine Shows '100% Effica...,NPR (Online News),https://www.npr.org/sections/coronavirus-live-u...
40,covid,BBC News,Center,Trump Covid: President leaves hospital to continue Covid-19 treatment,"US President Donald Trump has left hospital, three days after being admitted with Covid-19, vowing to be back on the campaign trail soon.",Oct 05 2020,https://www.bbc.com/news/election-us-2020-54427390,Left,Covid tongue? Why new Covid-19 symptoms keep po...,Vox,https://www.vox.com/22307256/covid-19-symptoms-...,Lean Right,Biden's new COVID-19 vaccine goal aims for 160M...,Fox News (Online News),https://www.foxnews.com/health/bidens-covid-19-...,Center,How the COVID year upended politics,The Hill,https://thehill.com/homenews/the-memo/542661-th...
41,covid,Fox News (Online News),Lean Right,'Breakthrough' COVID-19 reported in 4 fully vaccinated individuals,"Health officials in Oregon said they are investigating four so-called ""breakthrough"" cases of coronavirus that were detected in individuals two weeks after they received their second dose of vaccine. The illnesses range from asymptomatic to mild, according to a news release posted Friday.",Feb 15 2021,https://www.foxnews.com/health/breakthrough-covid-19-fully-vaccinated-individuals-oregon,Lean Left,Half of U.S. adults have received at least one ...,CBS News (Online),https://www.cbsnews.com/news/coronavirus-vaccin...,Right,Biden Receives COVID-19 Vaccine,The Daily Caller,https://dailycaller.com/2020/12/21/joe-biden-co...,Center,Is Only 9% of Joe Biden's COVID Stimulus Plan G...,Newsweek,https://www.newsweek.com/fact-check-only-9-joe-...
42,covid,NPR (Online News),Center,Supreme Court Rules For Worshippers And Against California COVID Restrictions,"For the fifth time, the U.S. Supreme Court has sided with religious adherents and against California's COVID-19 restrictions. This time, the court barred the state from enforcing a rule that for now limits both religious and non-religious gatherings in homes to no more than three households.",Apr 11 2021,https://www.npr.org/2021/04/10/986010977/supreme-court-rules-for-worshippers-and-against-california-covid-restrictions,Left,CDC Head Warns Of ‘Impending Doom’ As COVID-19 ...,HuffPost,https://www.huffpost.com/entry/cdc-walensky-war...,Right,House Democrats Unveil $1.9 Trillion COVID-19 R...,Breitbart News,https://www.breitbart.com/news/house-democrats-...,Center,Covid-19 paused climate emissions – but they're...,BBC News,https://www.bbc.com/future/article/20210312-cov...
43,covid,The Daily Caller,Right,Nearly 40% Of Marines Opted Out Of The COVID-19 Vaccine,"Almost 40% of eligible U.S. Marines have declined COVID-19 vaccinations, according to data the service provided to CNN on Friday.",Apr 10 2021,https://dailycaller.com/2021/04/10/report-nearly-40-percent-marines-opted-out-covid-19-vaccine/,Lean Left,Congressional leaders near deal on Covid relief,Politico,https://www.politico.com/news/2020/12/16/congre...,Lean Right,It's not 'Covid relief' if they want to make it...,Washington Examiner,https://www.washingtonexaminer.com/opinion/byro...,Center,Moderna says COVID-19 vaccine 96 percent effect...,The Hill,https://thehill.com/policy/healthcare/552168-mo...
44,covid,CNN (Online News),Left,Covid-19 vaccinations are climbing. But familiar mistakes could lead to more misery,"For more than a year, the US has battled a ruthless enemy: a novel virus that took no mercy on American communities, crippled hospital systems and took the lives of more than half a million people.",Apr 09 2021,https://www.cnn.com/2021/04/09/us/us-covid-vaccines-mistakes-progress-analysis/index.html,Left,Democrats Poised To Ditch Republicans To Pass B...,HuffPost,https://www.huffpost.com/entry/democrats-reconc...,Lean Right,Biden's new COVID-19 vaccine goal aims for 160M...,Fox News (Online News),https://www.foxnews.com/health/bidens-covid-19-...,Center,Police Violence and COVID Spurred 30% Spike in ...,Newsweek,https://www.newsweek.com/police-violence-covid-...
45,covid,Vox,Left,Got the vaccine? Experts say you can relax about your Covid-19 risk now. Really.,I asked health experts about their post-vaccination lives. Most no longer worry about their own risk of Covid-19.,May 11 2021,https://www.vox.com/22423098/covid-19-vaccine-coronavirus-protection-herd-immunity,Left,Covid-19's threat to European unity,CNN (Opinion),https://www.cnn.com/2020/05/07/opinions/europea...,Lean Right,COVID-19 vaccinations might become mandatory at...,Fox News (Online News),https://www.foxnews.com/us/covid-19-vaccination...,Center,U.S. Hits Half a Million COVID Deaths Even as C...,Newsweek,https://www.newsweek.com/us-hits-half-million-c...
46,covid,USA TODAY,Center,"FDA authorizes Pfizer-BioNTech COVID-19 vaccine for younger teens, moving US 'closer to returning to a sense of normalcy'","A COVID-19 vaccine made by Pfizer and its German partner, BioNTech, is safe and effective enough to give to younger teens, the Food and Drug Administration said Monday in authorizing its use.",May 10 2021,https://www.usatoday.com/story/news/health/2021/05/10/pfizer-covid-shots-should-made-available-younger-teens-fda-says/7398228002/,Left,Thousands of COVID Vaccine Appointments Are Bei...,Vice,https://www.vice.com/en/article/4adb7q/thousand...,Right,House Democrats unveil text of COVID-19 relief ...,Breitbart News,https://www.breitbart.com/news/house-democrats-...,Center,What Covid-19 Taught Us About Telemedicine,Wall Street Journal (News),http://wsj.com/articles/what-covid-19-taught-us...
47,covid,The Hill,Center,"Washington, D.C. to expand COVID-19 vaccine eligibility to those ages 16 and older",Washington D.C. Mayor Muriel Bowser (D) announced on Monday that all residents of the nation’s capital over the age of 16 will be eligible for a COVID-19 vaccine beginning later this month.,Apr 05 2021,https://thehill.com/policy/healthcare/546599-washington-dc-to-expand-covid-19-vaccine-eligibility-to-those-ages-16-and,Lean Left,Congressional leaders near deal on Covid relief,Politico,https://www.politico.com/news/2020/12/16/congre...,Lean Right,GOP lawmaker wants answers from Fauci on Wuhan ...,Washington Examiner,https://www.washingtonexaminer.com/news/gop-ans...,Center,"New Study Estimates More Than 900,000 People Ha...",NPR (Online News),https://www.npr.org/sections/coronavirus-live-u...
48,covid,Politico,Lean Left,Democrats press for path to citizenship in Covid relief,"A group of 100 lawmakers led by the Congressional Hispanic Caucus on Saturday called for House leadership to offer a pathway to citizenship for undocumented essential workers, Dreamers and temporary protected status recipients in its upcoming coronavirus relief package.",Jan 31 2021,https://www.politico.com/news/2021/01/30/immigration-citizenship-pathway-coronavirus-relief-463994,Lean Left,U.S. Rushes to Expand Covid Vaccine Eligibility...,New York Times (News),https://www.nytimes.com/2021/03/19/us/vaccine-e...,Lean Right,Teachers Should Get the Covid Vaccine First,Wall Street Journal (Opinion),https://www.wsj.com/articles/teachers-should-ge...,Center,"After losing their moms to COVID-19, some would...",USA TODAY,https://www.usatoday.com/story/life/health-well...
49,covid,Fox News (Online News),Lean Right,"Mother's Day amid COVID – I know how hard this year's been, give yourself a pat on the back","This Mother’s Day, I would like to take a moment to congratulate all the moms who made this past year possible. Of course, I know it wasn’t just mothers. Fathers, guardians, caregivers and more made this possible, but Sunday is Mother’s Day so I would like to focus on the moms.",May 09 2021,https://www.foxnews.com/opinion/mothers-day-covid-struggle-loss-survival-leslie-marshall,Lean Left,Senate Democrats limit eligibility for stimulus...,CBS News (Online),https://www.cbsnews.com/news/stimulus-check-eli...,Right,Nearly 40% Of Marines Opted Out Of The COVID-19...,The Daily Caller,https://dailycaller.com/2021/04/10/report-nearl...,Center,Doctors Encouraged By Antibody Treatments For C...,NPR (Online News),https://www.npr.org/sections/health-shots/2021/...
50,covid,Wall Street Journal (News),Center,Covid-19 Is Dividing the American Worker,"For many professionals, technology has been a lifeline during the pandemic, enabling them to be productive while stuck at home. For many other workers, it is a new dividing line, corralling them further into the stagnant corners of the economy.",Aug 22 2020,https://www.wsj.com/articles/covid-19-is-dividing-the-american-worker-11598068859?mod=e2tw,Lean Left,Russia Announces World’s First COVID-19 Vaccine,New York Times (News),https://www.nytimes.com/2020/08/11/world/europe...,Right,Nearly 40% Of Marines Opted Out Of The COVID-19...,The Daily Caller,https://dailycaller.com/2021/04/10/report-nearl...,Center,Covid-19: US to advise against travel to 80% of...,BBC News,https://www.bbc.com/news/world-us-canada-56813852
51,covid,The Guardian,Lean Left,Boris Johnson to give go-ahead for trials of Covid passports,"Football cup finals, the World Snooker Championship, a comedy club and a cinema will be used to test vaccine passports over the next few weeks, as the government unveils its route out of lockdown.",Apr 03 2021,https://www.theguardian.com/world/2021/apr/03/boris-johnson-to-give-go-ahead-for-trials-of-covid-passports,Lean Left,Pro-Trump web forums are abuzz with directions ...,NBC News (Online),https://www.nbcnews.com/tech/tech-news/covid-va...,Right,Trump: COVID-19 Vaccine Developments Getting 'P...,Breitbart News,https://www.breitbart.com/2020-election/2020/09...,Center,Trump Covid: President leaves hospital to conti...,BBC News,https://www.bbc.com/news/election-us-2020-54427390
52,covid,Washington Examiner,Lean Right,GOP lawmaker wants answers from Fauci on Wuhan lab's research and possible COVID-19 origin,"Republicans on Capitol Hill are pushing the Biden administration to provide information about what the U.S. government knows about the potential origins of COVID-19, with one GOP congressman pressing Dr. Anthony Fauci about his support for gain-of-function research and about National Institutes of Health funding going to a Wuhan lab.",May 08 2021,https://www.washingtonexaminer.com/news/gop-answers-fauci-wuhan-lab-research-covid-origin,Lean Left,President Biden signs $1.9T Covid relief stimul...,NBC News (Online),https://www.nbcnews.com/politics/white-house/bi...,Lean Right,'Breakthrough' COVID-19 reported in 4 fully vac...,Fox News (Online News),https://www.foxnews.com/health/breakthrough-cov...,Center,Women report more side effects from the COVID-1...,USA TODAY,https://www.usatoday.com/story/news/health/2021...
53,covid,USA TODAY,Center,"After losing their moms to COVID-19, some would rather Mother's Day not 'exist at all'","They all cry, naked in their grief.",May 08 2021,https://www.usatoday.com/story/life/health-wellness/2021/05/07/pandemic-mothers-day-hurts-those-grieving-moms-lost-covid-19/4949197001/,Lean Left,Fauci: Republican vaccine deniers are hurting e...,The Guardian,https://www.theguardian.com/us-news/2021/apr/18...,Right,Nearly 40% Of Marines Opted Out Of The COVID-19...,The Daily Caller,https://dailycaller.com/2021/04/10/report-nearl...,Center,White House faces new obstacles in COVID-19 fight,The Hill,https://thehill.com/homenews/administration/548...
54,covid,Wall Street Journal (Opinion),Lean Right,Untangling the Media Myths of Covid-19,"Has there been in recent history a more tendentious, hysterical, data-denying and frankly disreputable exercise in misdirection than the way in which much of America’s media has covered the Covid-19 epidemic?",Aug 11 2020,https://www.wsj.com/articles/untangling-the-media-myths-of-covid-19-11597099357?mod=hp_opin_pos_3,Lean Left,U.S. to share 60 million doses of AstraZeneca C...,NBC News (Online),https://www.nbcnews.com/politics/white-house/u-...,Lean Right,"Top scientists slam WHO, insist COVID lab leak ...",New York Post (News),https://nypost.com/2021/05/14/top-us-scientists...,Center,"New Study Estimates More Than 900,000 People Ha...",NPR (Online News),https://www.npr.org/sections/coronavirus-live-u...
55,covid,Fox News (Online News),Lean Right,COVID-19 vaccinations might become mandatory at colleges and universities,"As college campuses target the fall semester for a return to ""normal"" learning, a new item will likely be added to the back-to-school checklist.",Mar 31 2021,https://www.foxnews.com/us/covid-19-vaccinations-might-become-mandatory-at-colleges-and-universities,Left,Covid tongue? Why new Covid-19 symptoms keep po...,Vox,https://www.vox.com/22307256/covid-19-symptoms-...,Lean Right,"Top scientists slam WHO, insist COVID lab leak ...",New York Post (News),https://nypost.com/2021/05/14/top-us-scientists...,Center,"Washington, D.C. to expand COVID-19 vaccine eli...",The Hill,https://thehill.com/policy/healthcare/546599-wa...
